regarding_candidate,tweet
lopezobrador_,"En respuesta a PoetaCaminatey EPN VotoCastigoAlPRIAN que por décadas solo han prometido y nunca han cumplido a la ciudadanía. Esos corruptos deben saber que el pueblo manda y ellos viven para servirnos que por eso cobran de nuestros impuestos.,"
lopezobrador_,"En respuesta a manuelscastrom Muy cierto amlo es el portavoz de todos los mexicanos que queremos un cambio hartos de saqueos corrupciones abusos y de mentiras por parte de gobiernos sin escrupulos que en nada han ayudado a la nacion.,"
lopezobrador_,"Con esto amigo, solo a los indecisos les puedes hacer cuestionarse. Dudo que una persona que ya se definió por AMLO, cambie su intención de voto. Ahora, no es nada confiable si la información viene del PRI. Ademas esta noticia es muy “oportuna”. Justo la revelan hoy FaceWithMonocle sospechoso.,"
lopezobrador_,"Además transmitieron los tres cierres, pero el más emotivo y concurrido fue de AMLO, así son las cosas.,"
lopezobrador_,"Muy sencillo, porque AMLO nomas se queda callado y sus subditos le aplauden, no ocupa dar explicaciones de nada, ni siquiera de hablar las borucas tipo Jorge Campos que dice...disculpen pero están idiotizados...,"
lopezobrador_,"En respuesta a econokafka y CarlaEUrena Pues porque en su cabeza AMLO es impoluto y no es concebible que pudiera haber hecho algo malo, en tanto que sus rivales no pueden ser más que la peor calaña de la política mexicana. Es maniqueísmo y medir con una doble vara.,"
lopezobrador_,"En respuesta a econokafka Pues porque se trata del partido de AMLO, es increíble que aún no lo podamos entender. FaceWithRollingEyes,"
lopezobrador_,"En respuesta a econokafka Un familiar pro AMLO argumenta que el PAN le afectó al cambiar el esquema de pensiones, que el PRI endeudó    veces más al país sin ser notoria la infraestructura a nivel federal..ya le he dicho que AMLO sería mucho peor..pero nada.. DisappointedFace,"
lopezobrador_,"No ea chillón. Dígale a su RATAMLO que no sea cochino y devuelva el dinero de ese fideicomiso. Cochino ya sabes quién.,"
lopezobrador_,"En respuesta a econokafka Porqué?, es bien fácil de entenderlo, eso, no significa empatía con PRI. Amloista no ven un candidato, ven al salvador del mundo. Patéticos e ignorantes. Mucho, muchísimo, de a madre.,"
lopezobrador_,"En respuesta a econokafka Por que son del PRIAN brazos de la Mafia de gobmx,"
lopezobrador_,"En respuesta a econokafka Maybe nex time, for now, I'm afraid it's too late. Sorry !! See you tomorrow. AMLO     ,"
lopezobrador_,"En respuesta a econokafka La doble moral, de Morena, solo es compatible con el descaro del PRI para robar Vendrán tiempos difíciles,"
lopezobrador_,"En respuesta a econokafka y IIJONGUI POR EL ACUERDO SECRETO AMLO DA AMNISTÍA A EPN Y EPN DA A AMLO LA PRESIDENCIA ACUERDOS QUE SE DAN ENTRE LA MIERDA,"
lopezobrador_,"En respuesta a econokafka Ya perdió el PRIAN,"
lopezobrador_,"En respuesta a econokafka EVITEMOS EL VENEZUELAMLO! ,"
lopezobrador_,"El único voto útil es para Amlo,"
lopezobrador_,"El voto útil es el único que puede sacar al PRIAN del gobierno. Eso para mi es Voto ÚTIL!!! VictoryHand,"
lopezobrador_,"Ni un voto al PRI ni al PAN. Estamos hartos!,"
lopezobrador_,"Siiiiii que los prianistas voten por los dos!! FaceWithTearsOfJoy FaceWithTearsOfJoy FaceWithTearsOfJoy,"
lopezobrador_,"En respuesta a VicenteFoxQue ay loquito, ¿cierre espectacular? espérate al AZTECA, ¿masiva votación? claro ¡¡¡ para AMLO ¿sabes por qué? porque estamos HARTOS DE USTEDES VIVIDORES Y SAQUEADORES, HARTOS DE MANTENERLOS MIENETRAS PRIVATIZAN LO NUESTRO NosVemosEnLasUrnas...,"
lopezobrador_,"En respuesta a VicenteFoxQue Lo mejor es esta lacra apoyando a los dos, esperando que el que gane le siga cuidando su pensión. Cinismo al    % AMLO    ,"
lopezobrador_,"Muy bien anciano mariguas sigue informando que así voten los prianistas para que ganen,mi apoyo vamos jox sigue así.,"
lopezobrador_,"En respuesta a VicenteFoxQue Tranquilo VicenteFoxQue PRONTO no comas ancias! Tú conoces de estadística así que puedes estar bien tranquilo! ESTE ARROZ YA SE COCIÓ. Perderás junto con todos tus secuaces! Pronto MÉXICO se IMPONDRÁ!  -  MÉXICO VS MAFIA,"
lopezobrador_,"En respuesta a VicenteFoxQue Ustedes nada más apelan al fraude. AMLO va solo y por mucho, sufre vejete traidor.,"
lopezobrador_,"De verdad, informate a conciencia, porque de los   AMLO es el peor,"
lopezobrador_,"No es el peor tu Infórmate ya no veas tv azteca Televisa grupo imagen esas televisoras están compradas solamente la gente ignorante todavía cree en el PRIAN TE hace falta leer y ver la realidad del país ignorante,"
lopezobrador_,"Por trabajo ya no vivo en México pero en Austin, Tx se filtra mucha informacion de todos, conozco a una persona que trabaja en una de las cortes y USA está monitoreando las selecciones por conveniencia, te aseguro que AMLO ES EL PEOR,"
lopezobrador_,"En respuesta a VicenteFoxQue Lo dices solo por el cierre donde fueron a comer los acarreados? Y dime en cuantas ciudades estuvo así AMLO? no te gusto verdad ? ,"
lopezobrador_,"En respuesta a VicenteFoxQue Si esa gente que está en esos cierres ""espectaculares"" fuera gente que va por convicción, a lo mejor tendrían chanza de ganarle a lopitos, lastima que es pura gente acarreada y amenazada que si no van les retiran el apoyo de algún programa social,"
lopezobrador_,"En respuesta a VicenteFoxQue Va haciendo las maletas chachalaca.,"
lopezobrador_,"En respuesta a VicenteFoxQue Créame Sr Fox disfrutaré mucho cuando su pensión le sea retirada,"
lopezobrador_,"En respuesta a VicenteFoxQue Esto no lo dice lopitos lo dice el pueblo de México, y no hay nada que pagar a quienes, por si solos, unen fuerzas para lograr algo tan espectacular como el AMLOFest.Tú continúa en USA grabando y compartiendo cosas en tu iPhone, que a los mexicanos solo nos importa nuestro país,"
lopezobrador_,"En respuesta a VicenteFoxQue AMLO      y el fin de mantener ex presidentes parásitos!,"
lopezobrador_,"En respuesta a VicenteFoxQue Ja ja cierres espectaculares, ya lo verás en las urnas, adiós a tu pensión basta de mantener huevones como tú,"
lopezobrador_,"En respuesta a VicenteFoxQue Los verdaderos rateros de mexico...VotaAmlo NosoyBot mariguano SinPencion,"
lopezobrador_,"En respuesta a VicenteFoxQue AMLO PRESIDENTE     -     SmilingFace Coffee,"
lopezobrador_,"En respuesta a VicenteFoxQue CALLATECHACHALACA!!,"
lopezobrador_,"En respuesta a VicenteFoxQue Que va a decir? Que YaSeVan,"
lopezobrador_,"En respuesta a VicenteFoxQue Sr Fox entendemos su malestar por el triunfo eminente de nuestro próximo Presidente de Mexico el Sr. López Obrador, tranquilo no se sulfure! Sabemos que su riqueza es robada, mejor póngase a trabajar decentemente, tenga dignidad. MEXICO YA DESPERTÓ! Muera el mal gobierno PRIAN!,"
lopezobrador_,"En respuesta a VicenteFoxQue Ja, ja, ja, ja. En verdad que eres divertido cabeza hueca, en decir tantas babosadas apoyando al PRIAN. Tiembla, se te acabo.,"
lopezobrador_,"En respuesta a VicenteFoxQue Es culpa del PRIAN,"
lopezobrador_,"En respuesta a VicenteFoxQue Se acabaron las botas de charol mi buen, no más pensión millonaria.,"
lopezobrador_,"En respuesta a VicenteFoxQue Es culpa del PRIAN,"
lopezobrador_,"En respuesta a VicenteFoxQue Se acabaron las botas de charol mi buen, no más pensión millonaria.,"
lopezobrador_,"En respuesta a VicenteFoxQue Se acabará la robadera que ustedes, crápulas políticos, han realizado al amparo del poder público. YaSeVan Ve haciendo las maletas Vete con tus drogas y mariguana a otro lado, a pervertir a jóvenes y viejos. ????????,"
lopezobrador_,"En respuesta a VicenteFoxQue De que hablas fox eso toda la vida an hecho tus partidos prian como me arrepiento en aver votado por ti traidor vende patrias,"
lopezobrador_,"En respuesta a VicenteFoxQue Ya cállate. Supera que el prian ya fue historia.,"
lopezobrador_,"En respuesta a VicenteFoxQue Miedito c va tu pensión zorro.. A no Fox al caso es lo mismo…,"
lopezobrador_,"En respuesta a VicenteFoxQue No necesitan acarreados los de PRIAN si…,"
lopezobrador_,"En respuesta a VicenteFoxQue Sr. Fox... decline por AMLO, no se vaya a arrepentir después cuando esté haciendo fila en el Seguro Popular.,"
lopezobrador_,"En respuesta a VicenteFoxQue Hay chente estas a poco tiempo de perder tu pencion por eso entiendo tu desesperación pero quiero que sepas que El estadio azteca le quedará chico a nuestro querido AMLO y estara lleno de gente que de verdad quiere el cambio y van de corazon,"
lopezobrador_,"En respuesta a VicenteFoxQue Te vas a quedar sin pensión…,"
lopezobrador_,"En respuesta a VicenteFoxQue YA QUE LE COOORTEN LA PENSIÓN....,"
lopezobrador_,"En respuesta a VicenteFoxQue Acarreado? Si no estoy de hambreado con el PRIAN como tu!!,"
lopezobrador_,"En respuesta a VicenteFoxQue Ya deja de consumir tantas dogras , que Martha yo no te de tanto toloache porque te estás quedando loco ubícate , el PRIN van perder aunque te duela lopezobrador_ será el próximo presidente de FlagMexico ,"
lopezobrador_,"En respuesta a VicenteFoxQue El próximo domingo dile Adiós a la pensión, anciano.,"
lopezobrador_,"En respuesta a VicenteFoxQue Voto masivo para que VicenteFoxQue pierda su millonaria pensión ,"
lopezobrador_,"En respuesta a EduardoAgSi y RicardoAnayaC Eso que alardea RicardoAnayaC es copia de las metas de lopezobrador_ , el líder de México al frente un copión y vulgar copi paste,"
lopezobrador_,"Aguas, es inviable lo que propone AMLO. Menos votos impulsivos y más mexicanos razonando su voto, si queremos erradicar todo lo que nos tiene hartos; porque sí podemos estar peor. Vota, pero piensa y mide las consecuencias. NoEsNormal que le crean!!!,"
lopezobrador_,"Mira el AMLOFEST ,"
lopezobrador_,"Definitivo AMLO,"
lopezobrador_,"Si tiempo para que tú y el PRIAN reflexionen lo que Han hecho al pueblo,"
lopezobrador_,"Vamos con AMLO WinkingFace VictoryHand,"
lopezobrador_,"No sé qué creer ni qué pensar sobre los candidatos, las elecciones y el clima político (ni que hubiera estudiado CPyAP). Total que no sabía ni por quién votar. Pero Toño Esquinca dice que si gana YaSabesQuien se va del país. Y pues gracias, totalmente convencido, voy con AMLO"","
lopezobrador_,Mexicanos de todas las creencias religiosas se les hace un llamado apelando a su moral para cuidar de las garras del PRIAN las elecciones. No sé dejen comprar por unos cuantos pesos
lopezobrador_,"Según Boomerang y Parametría, lopezobrador_ se consolida, las elecciones serán puro trámite, ni mil misiles contra AMLO podrán tumbarlo.
En respuesta a javi dc rebot     y lopezobrador_Todos con lopezobrador_ pues aunque el maldito PRI_Nacional EPN nos amenaze con su spot de que nos quitara beneficios todos cero voto para prian ..pues en k burbuja vive epn. Si no tenemos nada por que ni con nuestro trabajo nos alcanza para tragar menos para vivir bien FaceWithSteamFromNose SmilingFaceWithHorns FaceWithSteamFromNose,
Y nos vamos a cansar de la de MORENA simplemente es más de lo mismo,"
lopezobrador_,"En respuesta a el_spidercholo IGUAL TE VAN COJER COMO EL PRIAN... PEEO EN MAS PENDEJO!!! Pero disfruta el viaje y el mamey!!!,"
lopezobrador_,"En respuesta a el_spidercholo Vete a la verga tu y el AMLO,"
lopezobrador_,"En respuesta a marianapordios y alejandrokent Las campañas del PRIAN estuvieron cubridas de tristeza. FaceWithTearsOfJoy FaceWithTearsOfJoy FaceWithTearsOfJoy,"
lopezobrador_,"En respuesta a marianapordios yJaime         Me encantaba que en esas cuentas era tipo ""todos los candidatos son malos""; veias su TL y era puro VotoUtilVsAmlo FaceWithTearsOfJoy FaceWithTearsOfJoy FaceWithTearsOfJoy y - ""pinche viejo loco lo sigue puro pendejo y su propuesta X"" - eso no lo dijo - Uyyy que intolerancia asi son todos los pejezombies FaceWithTearsOfJoy FaceWithTearsOfJoy FaceWithTearsOfJoy,"
lopezobrador_,"En respuesta a marianapordios yrocioss Es que ""el cambio está uno mismo"" según ellos. Les da vergüenza decir que van a votar por alguno de los Prian,"
lopezobrador_,"Lo malo es que mucha gente está vendiendo su voto al pri PensiveFace duele ver la dignidad por los suelos de esta miserable gente yo voto por López obrador sin dinero ni despensa ojalá que reflexionen esos pobres arrastrados PerseveringFace del prian,"
lopezobrador_,"En respuesta a marianapordios Porque los únicos que maman a un candidato son los que apoyan a AMLO cuando ningún candidato era defendible mucho menos al grado al que defienden a AMLO,"
lopezobrador_,"Porque he de quejarme?? Y claro que ganaremos NO AL SOCIALISMO AMLO,"
lopezobrador_,"En respuesta a marianapordios Así es. Siempre que iniciaban a tirar su veneno y les comentaba: ok AMLO no ¿quién sí?¿qué propones? Se acababa la discusión.,"
lopezobrador_,"En respuesta a marianapordios Nunca vi que les regalaran nada FaceWithTearsOfJoy en cambio a AMLO una foto de él al óleo, y hasta una silla presidencial entre muchas cosas más FlagMex RedHeart,"
lopezobrador_,"Dime que propuesta de AMLO no te gusta. Estoy segura de que ni las conoces, o sí?,"
lopezobrador_,"En respuesta a marianapordios No es triste mariana, lo único que hicieron, fue polarizar más las cosas y por ende, le dieron más fuerza a AMLO,"
lopezobrador_,"En respuesta a marianapordios en cada entrevista, incluso en los debates , y ni hablar en toda la campaña, siempre fue , amlo aquello, amlo esto etc.. yo que me chute esta odisea electoral, no había respuesta alguna que al final terminaba andres,"
lopezobrador_,"En respuesta a marianapordios Tienes toda la razón, en su mayoría no conocen siquiera las propuestas fundamentales de los candidatos, solo es estar en contra de AMLO. Aunque conocí un par que si peleaba sus propuestas,"
lopezobrador_,"En respuesta a marianapordios No les quedaba de otra pues nunca tuvieron un proyecto definido La línea fue, es y será atacar a AMLO desde cualquier ángulo,"
lopezobrador_,"En respuesta a marianapordios Lo que pasa es que no supieron ler la estrategia de López Obrador y sus campañas estuvieron cubridas de incertidumbre... Aunque siempre habrá un descerebrado que la ha volvido a cajetear y habrá votado por el PRIAN,"
lopezobrador_,"En respuesta a marianapordios Los que votarán por ellos, es por que “odian a AMLO”, jamas escuche a alguien que dijera “yo sí creo en ese candidato”,"
lopezobrador_,"En respuesta a marianapordios No hubo propuestas de cambio para beneficio de México, nunca leí de ellos la solicitud de cárcel para los Duarte, etc., puro odio vs AMLO.,"
lopezobrador_,"En respuesta a marianapordios Se la pasaron asustando a la gente de lo que supuestamente AMLO va a hacer que de lo ellos van a hacer para el país. Es más fácil destruir que construir. votemospormexico,"
lopezobrador_,"En respuesta a marianapordios Porque nunca tuvieron convicción propia! No seguen a nadie solo al poder y al dinero solo obedecen ordenes de sus amos y señores, yo solo te puedo decir que no espero ayuda de AMLO solo que sea honesto y austero, sin pensiónes ni sueldos estratosfericos a funcionarios públicos,"
lopezobrador_,"En respuesta a marianapordios Jajsja claro, nunca tuvieron forma de defender sus propuestas! Su única salida era gritar “chairo”. Era cuando pensaba “gané por KO” SmilingFaceWithSunglasses,"
lopezobrador_,"En respuesta a marianapordios Ojalá que ese odio se transforme en amor ahora AMLO alcance su ambición legítima de ser un buen presidente de México.,"
lopezobrador_,"En respuesta a marianapordios y natasha key Se dedicaron hacerle con sus ataques promocion a ya sabes quién, fue tanta su ceguera que se olvidaron de sus candidotes. Gracias AMLO PRESIDENTE los saluda,"
lopezobrador_,"En respuesta a marianapordios Lo más cagado es La clase-media prian haciéndo ""proselitismo"" en ""Facebook"" JA! Compartiendo videos tratando de hacer quedar mal al peje. No se han dados cuenta que lo único que les dio el prian todos estos años fue:    MESES SIN INTERESES RollingOnTheFloorLaughing RollingOnTheFloorLaughing RollingOnTheFloorLaughing RollingOnTheFloorLaughing,"
lopezobrador_,"En respuesta a marianapordios AMLO va a perder... guarden este tuit,"
lopezobrador_,"En respuesta a marianapordios Sólo se dedicaron a echar tierra y robar propuestas de AMLO que ya tiene mucho tiempo que las está proponiendo Jajaja,"
lopezobrador_,"En respuesta a marianapordios El mejor tweet..... Tanta verdad jajaja.... Lo mejor es las contestaciones de los simpatizantes del PRIAN FaceWithTearsOfJoy Cuando tu con una simple verdad los acabaste!!! Saludos,"
lopezobrador_,"En respuesta a marianapordios Si se vio mucha defensa de AMLO en estas campañas, sobre todo sus seguidores haciendo maroma y teatro para explicar lo que realmente quiso decir el Sr.,"
lopezobrador_,"En respuesta a marianapordios Morena con $   , me dueles Mexico,"
lopezobrador_,"En respuesta a marianapordios y ka s  Que alegría diras. Se confirma que solo existió el peje en las elecciones,"
lopezobrador_,"En respuesta a marianapordios Eso le dió mucha publicidad a AMLO , ellos mismos se echaron la soga al cuello jajaja,"
lopezobrador_,"En respuesta a marianapordios Eso es lo más triste, que no tienen una opinión propia, una crítica, una ideología... ataco y llamo “chairo” (aunque no sé ni con q se come) para encajar. ¿Quién les hizo tanto daño? FacedWithRaisedEyebrown,"
lopezobrador_,"En respuesta a PadreJosePalmar Hermanos Mexicanos por sus hijos nietos y bisnietos voten por cualquier opción menos por lo MALO (MALDAD comunista) encarnada en AMLO. El comunismo es una enfermedad social peor que la peor democracia. Y la cura del comunismo es penosa larga y dolorosa.,"
lopezobrador_,"¿Viejito loco el AMLO? SIIII DEMASIADO ..... HASTA SE PROCLAMÓ PRESIDENTE Y VIENE A LA REELECCION JAJAJAJAJA, VOLVERA A PERDER POR PAYASO,"
lopezobrador_,"Confiemos que Dios que el Pueblo de Méjico reaccione ante la gravedad de votar por AMLO, que entienda q es un macburro mas, esclavo servil de los cubanos. Hay q eliminar de Latinoamérica esa plaga.Méjico ama a su Morenita q es Milagrosa, hay q pedirle FoldedHands q el pueblo no vote p AMLO,"
lopezobrador_,"En      no habia libertad de expresion y hoy si, ha habido cambio aunque no lo permite el pri completamente y freno al PAN Pero morena va a despedir a los comunicadores de radio y tv que no concuerden , ni un voto x eso,"
lopezobrador_,"En respuesta a PadreJosePalmar Como es posible que en México un país tan católico y creyente en la virgen de Guadalupe, vayan a votar x un comunista como AMLO? Increíble!,"
lopezobrador_,"Siempre se ha dicho, el pueblo tiene el gobierno que quiere, si ahora no resulta, ya sobrevivimos    años al autoritario PRI, al asesino PAN, ya los chapulines de MORENA,no les tenemos miedo,"
lopezobrador_,"En respuesta a PadreJosePalmar Vana d por Mexico no por un partido voto útil no a AMLO como presidente,"
lopezobrador_,"En respuesta a PadreJosePalmar y StrappyBareback Lo bueno es que todos aman amlo pero mañana perderá téngalo por seguro,"
lopezobrador_,"En respuesta a PadreJosePalmar Yo creo que López Obrador ganara sin problemas ... dividir a un país con un discurso populista ha dado buenos resultados a la izquierda castrocommunista y esta por medio de Fidel y Chavez ha estado financiando las campaña de AMLO desde el     ,"
lopezobrador_,"En respuesta a PadreJosePalmar Padre que los Angeles digan Amen y el Santo Espiritu ilumine a mis hermanos mexicanos y puedan evitar el desastre si gana AMLO. ESTAN DANDOSE CUENTA lo que se les avecina si llega este lacra al poder. Fuera el comunismo de America Latina y el mundo entero,"
lopezobrador_,"En respuesta a PadreJosePalmar Vamos Obrador!!!!!!!!,"
lopezobrador_,"En respuesta a PadreJosePalmar En México resolvemos nuestros asuntos los mexicanos. Siga contribuyendo y enfoque sus fuerzas en resolver los asuntos de Venezuela. AMLO     ,"
lopezobrador_,"Siempre se ha dicho, el pueblo tiene el gobierno que quiere, si ahora no resulta, ya sobrevivimos    años al autoritario PRI, al asesino PAN, ya los chapulines de MORENA,no les tenemos miedo,"
lopezobrador_,"En respuesta a PadreJosePalmar En poco tiempo México dejará de ser como Suiza y comenzará a ser como Venezuela, y eso gracias a que los políticos priístas y panistas le hicieron la campaña a AMLO...,"
lopezobrador_,"En respuesta a PadreJosePalmar Miren al ignorante AMLO hablando de energía ""eótica"": https://youtu.be/JvqXc GoUk ,"
lopezobrador_,"En respuesta a CarlosBuenfilPor lo tanto, lo preocupante de la mayoría de la gente con AMLO, es el fanatismo. Ojalá se enfríe su juicio y pronto vean que también es parte del sistema corrupto y entonces entiendan que habrá mucho que exigirle una vez que gane.,"
lopezobrador_,AMLO    
lopezobrador_,VotoMasivoMORENA
lopezobrador_,"FueraPRIAN"","
lopezobrador_,"A nivel mundial la gente reincide en apoyar a lideres autoritarios; Trump, Duterte, Maduro, AMLO. Definitivamente, el humano es el unico ser capaz de tropezar con la misma piedra dos y mas veces, pero igual somos capaces de levantarnos, y corregir los errores... Elecciones    ,"
lopezobrador_,"pero no sea ayudar a damnificados porque INE lincha a Morena."","
lopezobrador_,"Sin duda es un apoyo de Citibank a amlo y es un antecedente de la atención que ponen en el extranjero a las elecciones en México. Por lo que sin duda serán históricas, o tenemos tenemos un cambio Pacífico o una continuidad caótica YoConAMLOHastaElFinal,"
lopezobrador_,"¿hasta qué punto los grandes intereses internacionales están dispuestos a darle el apoyo a la continuidad que representa el PRIAN? o aceptaran la nueva realidad que exigen los ciudadanos mexicanos? porque me parece que en estos momentos todo depende de ellos"","
lopezobrador_,"Está clarísimo que sólo te """"invitaron"""" a participar en las elecciones para apoyar en la """"guerra sucia"""" contra AMLO. Elecciones    "","
lopezobrador_,Vive del negocio familiar Morena
lopezobrador_,"En respuesta a Miriam_Junne pedroxalpa y RicardoAnayaCacumulara la misma cantidad de fracasos que lleva el orate de Macuspana? estoy seguro que no.,"
lopezobrador_,"Para financiar   refinerías,   punto del PIB para salud, forestar   millón de Has. becas para ninis y adultos mayores, acceso a todos a la universidad e incrementar programas sociales AMLO debe acabar con la corrupción    veces debateINE,"
lopezobrador_,"En respuesta a padresolalinde Pero aunque me llamen mil veces, yo el primero de Julio votaré por AMLO.,"
lopezobrador_,"En respuesta a aurelionuno y JoseAMeadeK ¿Experiencia, honestidad y conocimiento? De los cuatro candidatos actuales no veo alguno con esas cualidades...,"
lopezobrador_,"En respuesta a aurelionuno Emilio_Gamboa_ y JoseAMeadeKNo les da vergüenza a los priistas hablar de honestidad?,"
lopezobrador_,"En respuesta a aurelionuno y JoseAMeadeK¿Por la honestidad? ¿Como la de usted ante el Instituto Politécnico Nacional? Si es igual, mejor voto por el Bronco...,"
lopezobrador_,"En respuesta a aurelionuno luisalonso     y JoseAMeadeK Jajajajajajajaja honestidad tu!!!!
Honestidad Meade!!!
En respuesta a aurelionuno y JoseAMeadeKUna pregunta aurelionuno votamos por la honestidad por la experiencia o votamos por JoseAMeadeK? Porque por los dos no podemos,
¡AMLO me convenció!"
lopezobrador_,"En respuesta a FotorockstarY tu me convenciste, de que tu estas mas pendejo todavía... amlo,"
lopezobrador_,"Afirmativamente, AMLO es un PEJE-NDEJO !,"
lopezobrador_,"De que México va a cambiar no hay duda, mucho más de la mitad del país ya no quiere saber del PRI y la gran mayoría tampoco quiere saber nada de AMLO. No se trata de votar por lo que nos divide sino por lo que nos une como mexicans:
En respuesta a Randy_gdlTodo parece indicar que su tema anticorrupción es todo lo que sabe decir, pero es incapaz de ponerlo en práctica. Morena se le llenó de corruptos y a pesar de eso sigue con la misma canción en cada presentación"","
lopezobrador_,"En respuesta a Randy_gdlY lo más grave aún es que esto sucede justo como efecto de que los otros candidatos no son una alternativa en ninguno de los sentidos y por eso la gente se va con el ""menos malo"", soy proamlo pero debo reconocer que hay verdades incómodas en tus palabras.,"
lopezobrador_,"En respuesta a Randy_gdlCada ciudadano elige al candidato que más le identifica....tristemente muchos se identifican con la ignorancia e incongruencia de Amlo,"
lopezobrador_,"Pues todos ellos han sido más coherentes que el peje. AmloNO,"
lopezobrador_,"En respuesta a Randy_gdlPues será lo que quieras pero creo que le toca a él sentarse en esa silla, ya los demás robaron mucho y pues el sol sale para todos no crees SmilingFaceWithSunGlassesy te guste o no AMLO   %,"
lopezobrador_,"En respuesta a padresolalindeINEMexico lorenzo se hace lorenzo al acabar las campañas segun investigan NO subestimen al pueblo la llegada de AMLO A palacio nacional ni sus ultimos    millones pararan la voluntad de los millones de mexicanos PRI_Nacional AccionNacional PRDMexico,"
lopezobrador_,"En respuesta a padresolalinde y caesarintogaCUANDO A MI ME LLAMARON, LES DIJE QUE NO MOLESTEN, PORQUE ESTABA DISFRUTANDO DEL AMLOFEST !!,"
lopezobrador_,"En respuesta a padresolalindeComo puede apoyar a AMLO y quererle hacer más daño al país???? Será a peor el remedio que la enfermedad. Usted es una persona que sabe el daño que han hecho los gobiernos populistas como en Venezuela .,"
lopezobrador_,"En respuesta a padresolalindeEl INE siempre miente y solapa todas las infamias del PRIAN,haciéndose de la vista gorda,igual que algunos que todavía les gusta seguir al PRIAN y,aunque vean las bajezas se tapan los ojos,los oídos son taaan fieles a su partido y tan traidores a la patria y se dicen ""mexicanos"","
lopezobrador_,"En respuesta a padresolalinde y fernandeznoronaAmlo     ,"
lopezobrador_,"¿Esos son los que dice que ya cambiaron por irse a Morena? ,"
lopezobrador_,"En respuesta a Irma_SandovalCon morena toda impunidad es posible ladrones, secuestradoras, etc, etc, es el partido de la honestidad, dios me libre ha y amigos de asesinar niños ( el aborto ),"
lopezobrador_,"Si el pri es corrupto los de morena las ganan por mucho."","
lopezobrador_,"En respuesta a Irma_SandovalQue asco el PRIAN y sus representantes,"
lopezobrador_,"En respuesta a Randy_gdl y silvia_hidalgoEl problema no es el conformismo,,, la gente quiere un cambio como sea,, está harta de lo mismo y se ciega ante la ignorancia de AMLO pero Mexico tendrá lo que se merece,,,,, NADA!!!!!!,"
lopezobrador_,"En respuesta a Randy_gdlMe encanta tu comentario, pero desgraciadamente si un ignorante como AMLO llega a la presidencia es por un pueblo mayormente ignorante y dolido, en la mayoría de los casos porque creen merecer más sin esforzarse! Que pena mi pueblo querido,"
lopezobrador_,"En respuesta a Randy_gdl y manolotorhiToda la razón! No hay análisis ni pensamiento crítico para Amlo! Eso quiere decir mismo o menor nivel mental de sus simpatizantes...,"
lopezobrador_,"En respuesta a Randy_gdlTotalmente de acuerdo Es increíble que alguien con al menos dos dedos de frente no se de cuenta de la incapacidad mental que tiene AMLO,"
lopezobrador_,"En respuesta a Randy_gdlSi con Peña daba pena verlo desenvolverse en escenarios nacionales y peor en los internacionales, imagínense a AMLO?,"
lopezobrador_,"En respuesta a Randy_gdlEl_Universal_Mx Desafortunadamente AMLO demostró en los   debates q es cierto q le tomó    años terminar una licenciatura de   años. Y, no es agresión, simplemente q no tiene la capacidad para ser presidente. Se radicalizará porq eso aprendió de oídas y nos hundiría.,"
lopezobrador_,"En respuesta a Randy_gdlEn que cabeza cabe votar por este incongruente candidato NiUnVotoaAMLO Este demente no puede dirigir un país !,"
lopezobrador_,"En respuesta a Randy_gdlSi, pero ninguno otro “representa” el cambio como él. Ojo, no votaré por AMLO, pero es evidente que en términos generales, los otros dos partidos agotaron sus bonos de credibilidad. ¿Ante eso qué queda?,"
