regarding_candidate,tweet
RicardoAnayaC,"En respuesta a econokafka Por la misma razón por la que no hablas de la Estafa Maestra y de los negocios de Anaya. La misma.,"
RicardoAnayaC,"En respuesta a econokafka Complicidad abajo de la mesa! El domingo con lo único que puedo defender mi futuro y mi familia, con mi voto útil para Anaya y Barrales,"
RicardoAnayaC,"En respuesta a econokafka VamosConAnaya y los demás a lachingada,"
RicardoAnayaC,"En respuesta a VicenteFoxQue No creo que todo el pueblo unido quiera votar por un partido como el pri responsable por las muertes de mucha gente ni por a una persona que regala dinero para que voten por el como lo hace Anaya,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Orale que bueno es Anaya , me cae que es el cambio que Mexico necesita si no fuera tan camaleonico y no se robara propuestas , temo por mi generacion , que sigue engañada por politicos poplistas como el !!!,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Copion!!! Pues no que muy inteligente??? Copiando propuestas, no va a hacer sino consolidar la candidatura de YA SABES QUIEN. Pues no dice que son políticas anticuadas? Está copiando el discurso. El problema es que nadie le cree. Porque antes defendió todas las reformas de Peña.,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Pero si aprobó el Gasolinazo!! Doble moral!! Nadie te creé tus propuestas, las más buenas se las fusilaste a YA SABES QUIEN!!!,"
RicardoAnayaC,"En respuesta a angelbalderasm EduardoAgSi y RicardoAnayaC A ver Ricardito Anaya...o conectas la lengua con el cerebro o dejas de decir tus mentiritas...ahh que poca moral y descencia tienes PRI-MERO ALABAS LA PRI-VAT. ENERGITICA Y TE.BENEFICIAS Y AHORA LA USAS COMO ARMA DE CRITICA EN TU CAMPAÑA...,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Ningún evento FUE SUYO Ya que deje de plagiar AsiNoAnaya,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC No les da vergüenza decir tanta mentira de su canalla,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC AnayaCopion,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Ha!!!! Caray donde estaba que no está al save lo que parsa, hay le va ""El Dictadorsillo Se habia mantenido en la ""precampaña"" pero actualmente con todo y esas personas que asistieron a los eventos, Anaya va de picada y no hay quien le haga el paro.,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Y mientras, dejo esto por aquí del aliado del PRI… ,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Di NO a la Pirateria!!...con que sea congruente, puede ser que pudiera ser competitivo.   de cada    reformas las aprobó quién ahora dice que están mal. No pos si están bien al tiro sus asesores y Ustedes aplaudiéndole al chamacón cada que hace una gracia.,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC ,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Igual de veloz para lavar dinero!! MoneyWithWings MoneyWithWings MoneyWithWings,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Ah cabron espera   k en   eventos CaraConLágrimasDeAlegría CaraConLágrimasDeAlegría CaraConLágrimasDeAlegría no ps si un chingo de gente cuidado, Esta arrasando!!,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Por favor, es un CC. Puntp,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC De verdad se sienten orgullosos de sus ""propuestas""... doblemoral,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Simple copión!,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Todo un genio creador de buenas ideas el Lavador de Atlanta... ,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Puta madre ahora sí que los q preparan las tortas y los q hacen los frutsi tienen un chingo de chamba. Ahora sí q está creando un chingo de empleos, también el de los chayoteros lambiscones,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Eso que alardea RicardoAnayaC es copia de las metas de lopezobrador_ , el líder de México al frente un copión y vulgar copi paste,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Huy que bárbaro, ese Sr. Anaya copiando al Peje. Todos un populista, que miedo, nos convertirá en Venezuela. Cara con lágrimas de alegríaCara con lágrimas de alegríaCara con lágrimas de alegría,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Que eficaz, impresiónante!!! Me dejo sin palabras............................sarcasmo.,"
RicardoAnayaC,"En respuesta a EduardoAgSi y RicardoAnayaC Persiguiendo todo aquello que tachaba de ""populista"";¡tremendo imbécil!,"
